FeedbackID,CustomerID,FeedbackDate,FeedbackChannel,FeedbackCategory,FeedbackText,SentimentScore,ResolutionStatus
914102,974057,2024-06-14,Branch,Website,Voluptas ullam numquam debitis.,Negative,Pending
265438,678704,2024-03-10,Branch,Website,Et perspiciatis magni animi corporis nisi.,Neutral,Pending
776773,310102,2024-08-09,Branch,Product,Libero sequi vitae dolor.,Negative,Pending
897768,665630,2024-07-07,Branch,Website,Ab soluta dolores nobis temporibus sit voluptatum.,Positive,Pending
103035,533737,2024-05-02,Branch,Service,Minus rerum distinctio.,Positive,Resolved
708907,270949,2024-03-02,Branch,Service,Nihil mollitia distinctio repellat necessitatibus est.,Negative,Pending
599275,486971,2024-01-29,Online,Website,Perferendis aut saepe repellat praesentium praesentium.,Neutral,Resolved
409837,221057,2024-10-28,Branch,Product,Placeat eum accusamus sapiente quos cum iure.,Neutral,Resolved
626402,735380,2024-12-30,Branch,Service,Officiis repudiandae voluptatem laudantium ut.,Negative,Pending
120755,149554,2024-06-24,Phone,Website,Necessitatibus blanditiis non eius voluptatem atque.,Positive,Pending
896458,165838,2024-07-26,Online,Product,Expedita modi cupiditate ad praesentium blanditiis expedita.,Neutral,Resolved
351557,939767,2024-10-22,Phone,Website,Voluptates impedit ratione.,Positive,Pending
163307,730898,2024-08-31,Branch,Website,Amet ipsa asperiores corrupti illum.,Negative,Pending
583135,699278,2024-04-20,Phone,Website,Veritatis voluptatibus esse cumque iure pariatur.,Negative,Pending
494112,435931,2024-10-22,Branch,Product,Veritatis distinctio qui nemo earum sed.,Negative,Pending
712075,308266,2024-06-29,Online,Product,Fugiat quibusdam inventore.,Positive,Resolved
312513,586107,2024-04-01,Online,Website,Natus vero impedit tenetur cum officiis rem.,Negative,Pending
681952,717024,2024-09-15,Phone,Website,Nisi eligendi earum illo illo sit asperiores.,Neutral,Resolved
378163,359006,2024-11-13,Phone,Product,Laborum similique magnam.,Negative,Pending
823726,834339,2024-09-10,Online,Website,Sunt minima explicabo doloribus nostrum ab at.,Neutral,Resolved
545363,690037,2024-10-24,Branch,Service,Explicabo maxime occaecati qui rem.,Neutral,Resolved
835034,694924,2024-12-30,Online,Website,Accusamus repellendus modi.,Positive,Pending
316129,64355,2024-10-10,Online,Product,Cupiditate ipsam ab nobis hic repudiandae porro sunt.,Negative,Pending
782382,421853,2024-10-25,Online,Product,Et consectetur doloribus asperiores qui tempore architecto consectetur.,Negative,Pending
580475,155273,2024-06-07,Branch,Product,Minus quibusdam eveniet.,Neutral,Resolved
142007,125097,2024-09-01,Branch,Website,At ea molestiae tempore sequi occaecati.,Negative,Resolved
821569,673274,2024-03-21,Phone,Website,Adipisci optio doloribus hic autem iure repellat in.,Neutral,Pending
881703,916743,2024-06-01,Branch,Website,Explicabo totam vel vel in.,Negative,Resolved
657832,939767,2024-08-10,Branch,Service,Illo dolor quasi ducimus.,Neutral,Pending
450322,688651,2024-03-06,Branch,Website,Corrupti aperiam culpa saepe autem doloribus sit.,Negative,Resolved
726824,546117,2025-01-04,Online,Product,Voluptatibus numquam tenetur molestiae repudiandae veritatis.,Negative,Resolved
754001,614404,2024-10-16,Phone,Service,Optio recusandae eum et.,Neutral,Resolved
731895,689709,2024-10-02,Branch,Service,Cumque fugiat maiores.,Positive,Resolved
328864,283017,2024-09-09,Branch,Product,Nisi earum voluptate unde excepturi hic.,Positive,Pending
697586,286730,2024-06-21,Branch,Product,Ipsa eligendi aliquid ullam.,Neutral,Resolved
52568,193796,2024-07-31,Phone,Website,Quidem cupiditate et soluta.,Negative,Resolved
997754,796171,2024-11-29,Branch,Service,Recusandae laboriosam dolore unde necessitatibus et.,Neutral,Pending
861561,391349,2024-08-08,Phone,Service,Iure quasi dignissimos eum.,Negative,Resolved
8768,445911,2024-12-19,Online,Product,Nesciunt accusantium aperiam quam.,Negative,Resolved
497376,387303,2024-09-23,Online,Service,Animi eveniet odit tenetur.,Positive,Resolved
697484,638288,2024-05-12,Branch,Product,Nobis atque magni quae non.,Neutral,Pending
219996,373740,2024-08-13,Branch,Product,In aliquid officiis ex iure.,Negative,Pending
136866,631825,2024-07-23,Online,Website,Harum distinctio voluptatibus odit saepe.,Positive,Resolved
61546,583214,2025-01-03,Branch,Product,Reprehenderit culpa quos facilis officia dicta illo.,Negative,Resolved
959617,493707,2024-06-26,Online,Product,Autem hic aut temporibus earum sequi.,Positive,Resolved
100346,425987,2024-10-10,Online,Product,Eaque doloremque mollitia sapiente eum dolores.,Positive,Pending
730912,673274,2024-04-13,Phone,Product,A ea nulla ut illum.,Negative,Pending
321273,982733,2025-01-15,Phone,Product,Odit sed sint voluptate est fugiat maiores.,Negative,Resolved
406122,742762,2024-09-14,Branch,Product,Quo harum distinctio.,Positive,Pending
219022,510170,2024-12-04,Branch,Product,Autem rem dolore ipsam cum voluptates provident.,Neutral,Pending
33389,405691,2024-12-18,Phone,Service,Laborum dicta vel nostrum dignissimos.,Negative,Resolved
301170,631825,2024-06-09,Phone,Service,Debitis eos perspiciatis totam at labore.,Negative,Resolved
791599,149554,2024-12-26,Online,Website,Molestiae deserunt sit perspiciatis nisi assumenda illo repellat.,Positive,Resolved
20639,295101,2024-10-27,Online,Product,Vitae odio nostrum autem fugit hic.,Positive,Resolved
422754,425037,2024-10-02,Branch,Service,Voluptatibus aperiam soluta non odit magnam.,Negative,Resolved
52513,525970,2024-11-06,Branch,Website,Sit earum unde quasi at architecto enim.,Negative,Pending
20870,65536,2024-01-26,Phone,Product,Inventore numquam quibusdam asperiores magnam tempora.,Neutral,Pending
308287,899151,2024-10-20,Online,Website,Vel aliquid praesentium.,Positive,Pending
196639,616184,2024-05-14,Branch,Service,Architecto cupiditate enim et.,Positive,Pending
811850,764524,2024-11-10,Phone,Website,Quibusdam non praesentium quisquam voluptatem officia ducimus iste.,Positive,Resolved
878947,411343,2024-02-22,Phone,Service,Soluta voluptatibus occaecati consequatur tempore totam nam.,Neutral,Pending
405117,365397,2024-08-11,Branch,Service,Exercitationem molestias perferendis dicta alias.,Negative,Resolved
507485,171495,2024-07-10,Online,Product,Unde consequatur repellat sint dolor repellendus et.,Negative,Pending
940792,998505,2024-01-22,Online,Service,Ullam nihil quas dolorem at eaque quas ipsam.,Positive,Pending
499957,804391,2024-02-16,Branch,Product,Repudiandae tenetur fuga sequi quaerat.,Negative,Resolved
231758,120568,2024-04-09,Phone,Website,Qui dolores explicabo optio voluptates optio.,Negative,Resolved
482929,418082,2024-08-30,Online,Service,Dignissimos quis qui reiciendis numquam dolorem.,Positive,Pending
254112,178390,2024-09-14,Branch,Service,Libero impedit magnam voluptas sed ullam.,Positive,Pending
104661,699478,2025-01-18,Online,Website,Perferendis deserunt ratione quidem dolorem ullam sed.,Negative,Pending
675103,222738,2024-01-24,Branch,Product,Quibusdam amet omnis sunt veniam tempora.,Positive,Resolved
266319,183075,2024-08-25,Branch,Product,Ut dignissimos dolor molestiae ducimus.,Negative,Resolved
419879,511045,2024-05-02,Phone,Website,Tempore beatae ex.,Negative,Resolved
807274,919748,2024-04-05,Phone,Website,Quae maxime ullam explicabo sequi ad ab laudantium.,Positive,Resolved
363187,960430,2024-06-24,Branch,Product,Numquam et incidunt voluptas ipsum placeat incidunt.,Neutral,Pending
102146,712191,2024-06-22,Phone,Service,Voluptate illo officia earum quasi cupiditate doloribus.,Negative,Resolved
777871,834349,2024-10-24,Online,Product,Aliquid deserunt molestiae voluptates minus quos.,Negative,Resolved
859612,62326,2024-11-19,Branch,Product,Laudantium consequatur debitis officiis nulla nobis doloremque.,Negative,Resolved
537054,188232,2024-01-24,Branch,Product,Voluptates nobis dolorum laudantium nam sit.,Neutral,Resolved
28892,604305,2024-08-12,Online,Service,Nemo cupiditate in natus esse.,Positive,Pending
47382,538344,2024-03-14,Phone,Website,Voluptate ullam animi quos laboriosam eaque dolore.,Negative,Resolved
728136,877770,2024-05-16,Branch,Product,Corrupti quas eligendi sunt quis earum aliquam quibusdam.,Neutral,Resolved
529942,633832,2024-04-01,Phone,Product,Sapiente accusantium eos.,Negative,Pending
243762,73127,2025-01-17,Online,Service,Quos ex ipsam illum quaerat neque.,Neutral,Pending
530974,93889,2024-12-11,Phone,Website,Vero doloremque deserunt harum occaecati.,Neutral,Pending
911807,79576,2024-06-28,Online,Service,Dolorum quidem eos asperiores aperiam nihil.,Positive,Pending
657032,445462,2024-06-26,Online,Service,Totam dignissimos sunt explicabo nihil molestiae sint reprehenderit.,Neutral,Pending
173538,515342,2024-06-29,Phone,Product,Sequi facilis error.,Neutral,Pending
620041,948212,2024-05-16,Online,Product,Non sed voluptatibus culpa vitae voluptatibus quos accusantium.,Neutral,Resolved
575040,68571,2024-03-11,Phone,Product,Tenetur beatae dicta nesciunt nostrum consequatur.,Neutral,Pending
722303,231211,2024-07-11,Online,Product,Temporibus qui dolorum reprehenderit ad excepturi veritatis exercitationem.,Negative,Pending
339107,773797,2024-06-21,Phone,Product,Soluta nisi minus atque rerum error dignissimos.,Positive,Resolved
558717,216544,2024-09-03,Phone,Website,Eligendi cum recusandae distinctio aliquam.,Neutral,Pending
541016,310559,2024-03-09,Phone,Product,Accusantium voluptatum ea rerum sit dolore earum repudiandae.,Negative,Pending
849371,468650,2024-03-19,Branch,Website,Facilis sit amet quam culpa reprehenderit totam doloremque.,Positive,Pending
22843,149771,2024-06-25,Phone,Service,Officia ea voluptates.,Positive,Pending
186767,846387,2024-11-30,Phone,Product,Odio aut cumque modi voluptatum.,Positive,Pending
529734,782067,2024-07-23,Phone,Service,Minima reprehenderit doloribus id consectetur.,Negative,Resolved
